,datetime,total,time,month,day,year,weekday,season,is_weekend,this_hour_last_year
1,01.01.2005 01:00:00,154140,1,1,1,2005,5,2,1,163572.10073712302
2,01.01.2005 02:00:00,157818,2,1,1,2005,5,2,1,167475.16409842533
3,01.01.2005 03:00:00,149311,3,1,1,2005,5,2,1,158447.60563877368
4,01.01.2005 04:00:00,138282,4,1,1,2005,5,2,1,146743.7215137592
5,01.01.2005 05:00:00,132033,5,1,1,2005,5,2,1,140112.33408994786
6,01.01.2005 06:00:00,129193,6,1,1,2005,5,2,1,137098.54943902383
7,01.01.2005 07:00:00,131026,7,1,1,2005,5,2,1,139043.71396900402
8,01.01.2005 08:00:00,138040,8,1,1,2005,5,2,1,146486.91310336356
9,01.01.2005 09:00:00,158872,9,1,1,2005,5,2,1,168593.66023295838
10,01.01.2005 10:00:00,189733,10,1,1,2005,5,2,1,201343.0997090733
11,01.01.2005 11:00:00,213830,11,1,1,2005,5,2,1,226914.63799545227
12,01.01.2005 12:00:00,219684,12,1,1,2005,5,2,1,233126.85466675836
13,01.01.2005 13:00:00,216534,13,1,1,2005,5,2,1,229784.10056450107
14,01.01.2005 14:00:00,212718,14,1,1,2005,5,2,1,225734.59273776654
15,01.01.2005 15:00:00,202339,15,1,1,2005,5,2,1,214720.48326877342
16,01.01.2005 16:00:00,200407,16,1,1,2005,5,2,1,212670.26075272227
17,01.01.2005 17:00:00,197159,17,1,1,2005,5,2,1,209223.50985617255
18,01.01.2005 18:00:00,197123,18,1,1,2005,5,2,1,209185.30695214676
19,01.01.2005 19:00:00,198567,19,1,1,2005,5,2,1,210717.66788029263
20,01.01.2005 20:00:00,194657,20,1,1,2005,5,2,1,206568.40802637962
21,01.01.2005 21:00:00,196617,21,1,1,2005,5,2,1,208648.3439122286
22,01.01.2005 22:00:00,200878,22,1,1,2005,5,2,1,213170.08208039313
23,01.01.2005 23:00:00,200140,23,1,1,2005,5,2,1,212386.92254786426
24,02.01.2005 00:00:00,171760,0,1,2,2005,6,2,1,182270.2998741939
